"Target","Source","Traffic Share","Traffic","Difference","Destination","Traffic Share","Traffic","Difference"
"rpfgroup.com.au","facebook.com","44.27%","174","100%","n/a","n/a","n/a","n/a"
"","google.com","44.27%","174","100%","n/a","n/a","n/a","n/a"
"","google.com.hk","11.45%","45","100%","n/a","n/a","n/a","n/a"
"dwelcom.com","dwelcom.com","100%","302","100%","n/a","n/a","n/a","n/a"
"lifestylepropertymods.com.au","google.com","100%","26","100%","n/a","n/a","n/a","n/a"
"hiline.net.au","hiline.net.au","57.38%","171","-5%","n/a","n/a","n/a","n/a"
"","duckduckgo.com","42.62%","127","5.83%","n/a","n/a","n/a","n/a"
